Code obligation,Nom,Date émission,Date maturité,Cours du jour en valeur,Coupon Couru,Dernier paiement (Date/Valeur du coupon),Organization,start,end,interest,last_payment_date,last_payment_value
TPCI.O11,TPCI 6.50% 2011-2016,01/12/2011,,10 085,63757,"15/09/2015 / 650,00",TPCI,2011,2016,6.50,15/09/2015,/
TPCI.O13,TPCI 6.50% 2012-2017,08/03/2013,,10 000,"1 289,34","19/09/2015 / 650,00",TPCI,2012,2017,6.50,19/09/2015,/
TPCI.O15,TPCI 6.30% 2013-2018,23/04/2014,,10 000,30639,"03/06/2018 / 315,00",TPCI,2013,2018,6.30,03/06/2018,/
TPCI.O16,TPCI 6.55% 2014-2022,23/02/2015,,10 000,64962,"20/05/2021 / 655,00",TPCI,2014,2022,6.55,20/05/2021,/
TPCI.O17,TPCI 3% 2014-2024,08/06/2015,,10 000,14670,"19/12/2022 / 150,00",TPCI,2014,2024,3,19/12/2022,/
TPCI.O18,TPCI 5.85% 2014-2021,08/06/2015,,10 000,28451,"19/06/2021 / 292,50",TPCI,2014,2021,5.85,19/06/2021,/
TPCI.O19,TPCI 5.99% 2015-2025,28/09/2015,,10 400,5237,"14/05/2023 / 599,00",TPCI,2015,2025,5.99,14/05/2023,/
TPCI.O20,"TPCI 5,85% 2015-2022",18/01/2016,,10 000,28451,"05/04/2022 / 292,50",TPCI,2015,2022,5.85,05/04/2022,/
TPCI.O21,TPCI 6% 2016-2028,23/09/2016,,10 000,11148,"08/04/2023 / 600,00",TPCI,2016,2028,6,08/04/2023,/
TPCI.O22,TPCI 5.90% 2016-2026,06/12/2016,,9 800,59000,"15/06/2022 / 590,00",TPCI,2016,2026,5.90,15/06/2022,/
TPCI.O23,TPCI 5.90% 2016-2026,04/05/2017,,9 500,33945,"17/11/2022 / 590,00",TPCI,2016,2026,5.90,17/11/2022,/
TPCI.O24,"TPCI 6,25% 2017-2029",18/07/2017,,9 975,12978,"31/03/2023 / 312,50",TPCI,2017,2029,6.25,31/03/2023,/
TPCI.O25,"TPCI 5,95% 2017-2024 - A",06/04/2018,,10 000,8454,"24/04/2023 / 297,50","TPCI 5,95% 2017-2024",2017,2024A,5.95,24/04/2023,/
TPCI.O26,"TPCI 5,95% 2017-2024 - B",06/04/2018,,10 000,5821,"10/05/2023 / 297,50","TPCI 5,95% 2017-2024",2017,2024B,5.95,10/05/2023,/
TPCI.O27,"TPCI 6,00% 2017-2025",14/12/2018,,10 250,27692,"29/12/2022 / 300,00",TPCI,2017,2025,6.00,29/12/2022,/
TPCI.O28,"TPCI 6,00% 2018-2026",14/12/2018,,10 100,52110,"02/08/2022 / 600,00",TPCI,2018,2026,6.00,02/08/2022,/
TPCI.O29,"TPCI 6,00% 2018-2026",14/05/2019,,10 000,39288,"19/10/2022 / 600,00",TPCI,2018,2026,6.00,19/10/2022,/
TPCI.O30,"TPCI 5,95% 2018-2025",28/06/2019,,4 988,163,"13/06/2023 / 149,16",TPCI,2018,2025,5.95,13/06/2023,/
TPCI.O31,"TPCI 5,75% 2019-2026",26/09/2019,,10 230,56712,"20/06/2022 / 575,00",TPCI,2019,2026,5.75,20/06/2022,/
